conf	year	passcode	resid	ResourceType	ResourceType_clean	resourceName	resourceName_clean	ResourceProdStatus	ResourceProdStatus_clean	ResourceLang_1	ResourceLang_1_clean	ResourceLang_2	ResourceLang_2_clean	ResourceLang_3	ResourceLang_3_clean	ResourceLang_4	ResourceLang_4_clean	ResourceLang_5	ResourceLang_5_clean	ResourceLang_O	ResourceLang_O_clean	langdim
LREC2012	2012	302		Corpus		"FTW multi-speaker synchronous acoustic and 3D facial marker data in Austrian German"		"Newly created-finished"		English												Mono
COLING2010	2010	602X-C3P6A8C4D2		Corpus		TimeBank		Existing-used		English												Mono
LREC2010	2010	376X-E3A3E6P8B7		Lexicon		"Tagalog Wiktionary"		Existing-updated		Tagalog												Mono
LREC2010	2010	883X-A3A5A3J6D4		Lexicon		"NOUN COMPOUNDS IN CZECH, ENGLISH AND ZULU"		"Newly created-in progress"		Czech		English		Zulu								Tri
LREC2010	2010	W16_7X-F6B6B2C3C5		"Annotation Tool"		"BART Anaphora Resolution Toolkit"		Existing-used		English												Mono
LREC2012	2012	541		Corpus		SPIDIX		"Newly created-finished"		Slovenian 												Mono
LREC2012	2012	126		Corpus		"Large Bilingual Speech Database for Synthesis (Ahosyn)"		"Newly created-finished"		Basque 		Spanish 										Bi
LREC2010	2010	823X-P7F7J7P4F6		Corpus		Europarl		Existing-updated		de		en		es		fi		fr				Multi
LREC2012	2012	438		"Software Toolkit"		R		Existing-used		LI												Mono
ACLHT2011	2011	324		"Evaluation Data"		"Evaluation Data for Hyponymy Relation Mining"		"Newly created-finished"		English												Mono
LREC2010	2010	322X-H7H9H8P3B2		Corpus		"Academia Sinica Balanced Corpus of Modern Chinese (Sinica Corpus)"		Existing-used		Chinese												Mono
LREC2010	2010	W04_3X-J5C9P3G8G7		"Representation-Annotation Standard/Best Practice"		"MLIF/MultiLingual Information Framework"		Existing-used		English		French		other								Tri
LREC2010	2010	347X-H5B4F3P7F8		Terminology		"Women’s Studies Encyclopedia"		Existing-used		English												Mono
LREC2010	2010	154X-A7E7H3J4B4		Corpus		"CINTIL Treebank"		"Newly created-in progress"		Portuguese												Mono
COLING2010	2010	457X-C4F3H3D6F8		Corpus		"English GigaWord"																"Not Specified"
LREC2010	2010	43X-B3J8A6C6H6		Corpus		"WSJCAM0 British English speech database"		Existing-used		ENGLISH												Mono
LREC2012	2012	386		"Annotation Tool"		Unitex		Existing-used		English 		French 		Spanish 								Tri
COLING2010	2010	701X-E4G7E7H9P7		"Code: Semantic Parser"		"Generative Semantic Parsing Model using Hybrid Tree Framework"		Existing-used		LI												Mono
LREC2010	2010	547X-B8G5E9D9C3		Corpus		"WordNet Affect"		Existing-used		English												Mono
LREC2010	2010	69X-F6J6E4H2P8		"Annotation Tool"		Sextant		"Newly created-in progress"		LI												Mono
LREC2010	2010	793X-J6E8H4H5C3		"Evaluation Tool"		BLEU		Existing-used		LI												Mono
LREC2010	2010	212X-B3F5P7E9H9		Corpus		IMAIL-SSIA-2009		"Newly created-in progress"		Swedish												Mono
LREC2012	2012	596		Tokenizer		"Stanford Chinese Segmenter"		Existing-updated		LI												Mono
ACLHT2011	2011	144		"Annotation Tool"		"Unsupervised Dependency Parser for English v 1.0"		Existing-used		Urdu												Mono
LREC2010	2010	312X-B7E7D2A6C3		Ontology		SUMO		Existing-used		LI												Mono
COLING2010	2010	279X-B9F9G3G9A5		Tagger/Parser		CKIP																"Not Specified"
IJCNLP2011	2011	395		"Evaluation Data"		"Cross-Language Entity Linking Test Collection"		"Newly created-in progress"		Bulgarian		Croatian		Gheg Albanian		Mandarin Chinese		Standard Arabic				Multi
LREC2012	2012	595		Corpus		"The Twins Corpus of Museum Visitor Questions"		"Newly created-in progress"		LI												Mono
LREC2010	2010	235X-H7G7C3H6E9		"Evaluation Data"		"Slovenian Lombard Speech Database"		"Newly created-finished"		Slovenian												Mono
LREC2010	2010	359X-C3C6G8F3J8		"language service infrastructure"		"Language Grid"		Existing-used		LI												Mono
LREC2012	2012	1076		Lexicon		"Verb Lexicon and Event Durations"		"Newly created-in progress"		Japanese 												Mono
LREC2012	2012	250		"Machine Learning Tool"		SVMlight				German 												Mono
LREC2010	2010	513X-F6P5J5G4P8		Corpus		"ModeLex Corpus"		Existing-used		Anyi		Ega		German								Tri
LREC2010	2010	699X-A8J3J6C9J8		Lexicon		"context sensitive variant dictionary"		"Newly created-finished"		Japanese												Mono
LREC2010	2010	581X-A4C4A5F6G2		Corpus		"Simultaneous Interpretation Database (SIDB)"		Existing-updated		English		Japanese										Bi
LREC2010	2010	73X-H9H6C2F3A8		Lexicon		"Propbank frameset files"		"Some are newly created-in progress, some are existing-updated"		LI												Mono
LREC2012	2012	268		Corpus		SciTex		"Newly created-in progress"		LI												Mono
LREC2012	2012	574		Corpus		"Spanish Learner Language Oral Corpora (SPLLOC)"		Existing-updated		French 												Mono
LREC2012	2012	633		Corpus		"CALBC (Collaborative Annotation of a Large Biomedical Corpus) corpora"		"Newly created-finished"		english												Mono
LREC2010	2010	840X-F9B7J7F9B9		Corpus		Jurisdic		"Newly created-finished"		Polish												Mono
COLING2010	2010	332X-E3A3G2G8J3		"Evaluation Data"		"Word Relatedness Datasets"		Existing-used		Arabic		English		German		Romanian		Spanish				Multi
LREC2012	2012	433		Corpus		"Modern Greek Spontaneous Essay Text"		"Newly created-in progress"		Dutch 		English 										Bi
ACLHT2011	2011	468		Corpus		"Switchboard Corpus"		Existing-used		English												Mono
LREC2010	2010	833X-B6F9B7E4F9		Tagger/Parser		MeCab		Existing-used		Japanese												Mono
LREC2012	2012	565		Corpus		"Twitter corpus"		Existing-used		Italian 												Mono
LREC2010	2010	585X-G6J7B3E6H2		"Tree/Graph Transducer, Development Environment, Text Realizer"		MATE		Existing-used		LI												Mono
IS2011	2011	73700		Corpus		"AURORA Project Database 2.0 - Evaluation Package"		Existing-used		English												Mono
LREC2010	2010	W13_26X-J9F9D5H6A4		Corpus		DGS-Corpus		"Newly created-in progress"		German Sign Language												Mono
LREC2012	2012	861		Corpus		Math		"Newly created-in progress"		LI												Mono
LREC2010	2010	54X-E5J2G3B5H3		Corpus		"ACE data 2007"		Existing-used		Arabic												Mono
LREC2010	2010	458X-E6J6J7J3E2		Lexicon		"Romanian and English word form lexicons"		Existing-used		English		Romanian										Bi
LREC2010	2010	W20_8X-J5J7H9J9F3		"Multimedia language learning applications"		"euromobil 2"		Existing-updated		Czech		English		Finish		French		German				Multi
LREC2012	2012	256		Corpus		"TAC 2010 KBP Evaluation Source Data"		Existing-used		German 												Mono
IS2011	2011	20483		Corpus		"TIMIT Acoustic-Phonetic Continuous Speech Corpus"		Existing-used		English												Mono
COLING2010	2010	524X-B4A9D5P3G3		Tokenizer		JUMAN		Existing-used		Japanese												Mono
COLING2010	2010	421X-G3H8B8G4G9		Corpus		"Second International Chinese Word Segmentation Bakeoff Data"		Existing-used														"Not Specified"
COLING2010	2010	323X-A3B8G8C3C2		"Support Vector Machine Learning Tool"		TinySVM																"Not Specified"
LREC2010	2010	751X-J4E6A3H7E8		"Representation-Annotation Formalism/Guidelines"		"Annotation Schema for Collocation Errors in Learner Corpora"		"Newly created-in progress"		Spanish												Mono
COLING2010	2010	465X-J6D9A5C3C5		Corpus		"Penn Chinese Treebank"		Existing-used		Chinese												Mono
COLING2010	2010	614X-D4J3C3B8D4		Corpus		"Coreference resolution data in opinion mining domain"		"Newly created-finished"		English												Mono
LREC2012	2012	700		"Language Resources/Technologies Infrastructure"		"Ellogon language engineering platform"		Existing-updated		American English 												Mono
LTC2011	2011	37		Corpus		"ACE 2004 Multilingual Training Corpus"		Existing-used														Mono
LREC2010	2010	829X-G4J4C4C7C2		Terminology		"GRISP (General Research Insight in Scientific and technical Publications)"		Existing-used		English		French		German								Tri
LREC2010	2010	485X-E6G6B6E9H4		Lexicon		"SCI-FRAN-EURADIC Dictionnaire bilingue franÃ§ais-anglais"		Existing-used		English		French										Bi
LREC2012	2012	509		"Annotation Tool"		MADA		Existing-used		LI												Mono
COLING2010	2010	40X-P5G8E5H6J5		Terminology		"Medical Subject Headings"		Existing-updated		English												Mono
LREC2010	2010	347X-H5B4F3P7F8		Corpus		"Women's Studies International Forum"		Existing-used		English												Mono
IS2011	2011	62325		Corpus		"CMU_ARCTIC speech synthesis databases"		Existing-used		English												Mono
LREC2012	2012	751		Corpus		"PORT-MEDIA Domain"		"Newly created-finished"		LI												Mono
COLING2010	2010	438X-P6P6D6P3F4		Lexicon		VerbNet		Existing-updated		Chinese		English										Bi
LREC2012	2012	377		Corpus		DeCour		"Newly created-finished"		Polish 												Mono
LREC2012	2012	278		Corpus		"TAC 2010 KBP Training Entity Linking V2.0"		"Newly created-finished"		LI												Mono
LREC2010	2010	W04_14X-B3D6A3F3A5		Corpus		GerManC		"Newly created-in progress"		Early Modern German (1650-1800)												Mono
LREC2010	2010	497X-F9G8P9E6P9		Lexicon		POLYMOTS		"Newly created-in progress"		French												Mono
LREC2010	2010	201X-A5J4D9P3G3		Corpus		"Preposition Noun Combinations"		"Newly created-in progress"		German												Mono
LREC2010	2010	293X-H3P7B3P9J2		Lexicon		"Bible Bilingual Lexicons"		"Newly created-in progress"		Cebuano		Chinese		Danish		English		Finnish				Multi
LREC2010	2010	517X-P3H5B3H8H2		Corpus		"WikiNER  (semantically annotated corpus for Catalan)"		"Newly created-finished"		Catalan												Mono
LREC2010	2010	75X-A6D3B6A4C6		"Cultural Graph Comparator"		"C-Comparator v0.23"		"Newly created-in progress"		LI												Mono
LREC2010	2010	155X-H3F3H5E4C6		"Morphological analyzer and generator"		GERTWOL/GERGEN		Existing-updated		German												Mono
LREC2012	2012	771		Corpus		"TimeBank 1.2"		Existing-used		English		German										Bi
LREC2010	2010	864X-E4C7E9H3C4		Corpus		"TAC 2009 KBP Evaluation Entity Linking List"		"Newly created-finished"		English												Mono
LREC2012	2012	395		Corpus		"Srebrenica corpus"		Existing-used		French 												Mono
IS2011	2011	71824		Corpus		"Test Audio Data for Repeatition Detection"		"Newly created-finished"		LI												Mono
LREC2010	2010	521X-D7F3B2A6G3		Ontology		"Associative Concept Dictionary (ACD)"		Existing-used		Japanese												Mono
LREC2010	2010	128X-P4D5E4F2J8		"Representation-Annotation Formalism/Guidelines"		"OntoLing annotation model"		"Newly created-in progress"		LI												Mono
LREC2010	2010	793X-J6E8H4H5C3		"Text segmentation"		C99		Existing-used		LI												Mono
LREC2010	2010	809X-F3P3E3J5B6		Lexicon		ZAYA		Existing-used		Persian												Mono
COLING2010	2010	313X-C3P6G8B8P8		"Evaluation Data"		"NIST MT 03-06 training and test corpora"		Existing-used		Chinese		English										Bi
LREC2010	2010	297X-E6A6B2J9H3		"Evaluation Data"		"Event and Sentiment Segmentation Gold Standard"		"Newly created-finished"		English												Mono
LREC2010	2010	W10_15X-F9P6J5B4G9		Ontology		"Russian WordNet, Russian WordNet Grid"		"Newly created-in progress"		English		Russian										Bi
RANLP2011	2011	30		Ontology		"Suggested Upper Merged Ontology (SUMO)"		Existing-used		English												Mono
LREC2012	2012	441		Corpus		ELRA-W0051		Existing-updated		Icelandic 		Old Norse										Bi
COLING2010	2010	582X-H7C2B6A4H6		Tokenizer		MADA		Existing-used		Arabic												Mono
COLING2010	2010	37X-A7J9B4P2P3		"Not Inserted"		JWNL		Existing-used														"Not Specified"
IS2011	2011	16006		Corpus		"Russian Emotional Corpus (REC)"		"Newly created-in progress"		Russian												Mono
LREC2010	2010	182X-G6A3E4E8B9		"Evaluation Data"		"Test Bench for transliteration of Indian language to English"		"Newly created-in progress"		Bangla		Hindi		Telugu								Tri
LREC2010	2010	927X-A9G6C8P3C4		Corpus		OntoNotes		"Newly created-in progress"		Arabic		Chinese		English								Tri
LREC2010	2010	947X-H3B6A6J5E5		"query language"		WQuery		"Newly created-in progress"		LI												Mono
COLING2010	2010	349X-E6E5F7C9P4		Tagger/Parser		JUMAN		Existing-used		Japanese												Mono
LREC2010	2010	W13_10X-A9A4P4D6E7		Corpus		"Irish Sign Language"		"Newly created-in progress"		Irish Sign Language												Mono
LREC2010	2010	598X-E4A4E5P9C6		Corpus		"English-Latvian comparable corpus extracted from Wikipedia"		"Newly created-finished"		English		Latvian										Bi
LTC2011	2011	43		Tagger/Parser		Fips		Existing-used														Mono
LREC2012	2012	643		"Dataset-Entity Equivalences"		"WES base"		"Newly created-finished"		Not Applicable												Mono
LREC2010	2010	558X-B4H3C2A5G2		Tagger/Parser		SAMA		"Newly created-in progress"		Arabic												Mono
COLING2010	2010	188X-A6A5E2P8F9		Corpus		"CLEF 2009 test collections"		Existing-used														"Not Specified"
LREC2012	2012	379		Ontology		DBpedia		Existing-used		Dutch 												Mono
LREC2012	2012	673		Lexicon		"Subjectivity Lexicon"		"Newly created-in progress"		French 												Mono
LREC2012	2012	351		"Software Toolkit "		"Similarity Metric Library (SimMetrics)"		Existing-used		ASL		LIS		LSF								Tri
LREC2012	2012	225		Corpus		"Dot object predication gold standard"		"Newly created-finished"		English 												Mono
LREC2012	2012	848		"Language Modeling Tool"		"LinGO Grammar Matrix"		Existing-used		Mandarin Chinese 												Mono
O-COCOSDA2011	2011	45		Corpus		"Mongolian speech corpus for speech synthesis (NUM, NITP, NECTEC)"		"Newly created-finished"		Mongolian												Mono
LREC2012	2012	251		Corpus		"Arabic Treebank (ATB) Part 3 v 3.2"		Existing-used		English 												Mono
COLING2010	2010	546X-D6P4C6D9C8		Corpus		"EILMT parallel corpus"		Existing-used		Bengali		English		Hindi		Marathi		Urdu				Multi
COLING2010	2010	670X-F6A9P6D9A3		"Not Inserted"		"J Kalita"																"Not Specified"
LREC2010	2010	293X-H3P7B3P9J2		"Statistical Machine Translation toolkit"		Moses		Existing-used		LI												Mono
COLING2010	2010	335X-A2H3P6J3P5		Corpus		"Europarl and News-Commentary corpora"		Existing-used		English		Spanish										Bi
LREC2012	2012	398		Corpus		"German (P)LTAG treebank"		"Newly created-in progress"		English 												Mono
