conf	year	passcode	resid	ResourceType	ResourceType_clean	resourceName	resourceName_clean	ResourceProdStatus	ResourceProdStatus_clean	ResourceLang_1	ResourceLang_1_clean	ResourceLang_2	ResourceLang_2_clean	ResourceLang_3	ResourceLang_3_clean	ResourceLang_4	ResourceLang_4_clean	ResourceLang_5	ResourceLang_5_clean	ResourceLang_O	ResourceLang_O_clean	langdim
LREC2012	2012	394		"Terminology Tool "		"TermoStat Web 3.0"		Existing-used		LI												Mono
COLING2010	2010	796X-G6C3H3H7B7		Corpus		FrameNet		Existing-used		English												Mono
COLING2010	2010	703X-P6J3H3J4C6		Corpus		"Google V2 and n-gram tools"																"Not Specified"
LREC2010	2010	301X-D5H6D3F8H2		Corpus		"Multi-Annotated Corpus of Answers to Questions, MACAQ"		"Newly created-in progress"		French												Mono
LREC2012	2012	346		Corpus		"Corpus Quaero"		"Newly created-in progress"		Croatian		English										Bi
LREC2010	2010	881X-C4G4B6P3D9		"Grammar/Language Model"		"Cross-Corpus Model"		"Newly created-in progress"		English												Mono
LREC2012	2012	378		Treebank		"Irish Dependency Treebank"		"Newly created-in progress"		American English 		German 										Bi
LREC2010	2010	616X-P6G6E4J5J5		Tagger/Parser		"GATE Morphological Analyser  (part of the GATE system)"		Existing-used		English												Mono
O-COCOSDA2011	2011	8		Corpus		"Malay Emotional Speech Database (MESD)"		"Newly created-finished"		Malay												Mono
LREC2010	2010	553X-H2E8C2D4J9		Corpus		PAROLE		Existing-used		Italian												Mono
COLING2010	2010	486X-H3J6F8G6C9		Lexicon		"Verb Noun List"		"Newly created-in progress"		English												Mono
LREC2010	2010	443X-J6F5P7E9G7		Corpus		"JST scientific paper abstracts"		Existing-used		English		Japanese										Bi
LREC2010	2010	739X-A5C4C7E8G6		Corpus		"A Multi-layered/Multi-representational Treebank for Hindi"		"Newly created-in progress"		Hindi												Mono
LREC2010	2010	547X-B8G5E9D9C3		"Word Sense Disambiguator"		"WordNet Similarity"		Existing-updated		English												Mono
COLING2010	2010	393X-E5H7E9H7J8		Corpus		"German dependency treebank with new automatic features"		Existing-updated		German												Mono
IS2011	2011	48290		Corpus		"LIPS 2008 AV Corpus"		Existing-used		English												Mono
LREC2010	2010	W20_3X-J6C3G9J7B5		Metadata		BAMDES		"Newly created-finished"		Not Applicable												Mono
COLING2010	2010	798X-H2C5E7F5F3		Corpus		"Tagged Medical Forum Data"		"Newly created-finished"		English												Mono
LREC2012	2012	353		Corpus		"Integrated Reference Corpora for Spoken Romance Languages (C-ORAL-ROM)"		Existing-used		English 												Mono
LREC2012	2012	528		"Representation-Annotation Formalism/Guidelines"		"Format for Linguistic Annotation (FoLia)"		"Newly created-in progress"		LI												Mono
LREC2012	2012	684		Corpus		DECODA		"Newly created-in progress"		LI												Mono
LREC2010	2010	742X-J9E7F5A7H2		"paraphraser, composition tool, authoring aid, MT pre-editor, web service"		ReEscreve		"Newly created-in progress"		Portuguese												Mono
LREC2010	2010	W03_6X-G4D3B6A7A9		"Machine Translation tool"		Matxin		Existing-updated		Basque		Spanish										Bi
LREC2010	2010	378X-H6F5E4P5E6		Lexicon		"AEGIR lexicon"		"Newly created-in progress"		English patent domain												Mono
LREC2012	2012	825		Corpus		"A Multiparty Multi-Lingual Chat Corpus for Modeling Social Phenomena in Language (MMPC)"		"Newly created-in progress"		American English 		Mandarin Chinese 		Urdu 								Tri
LREC2010	2010	371X-C6G3A5H8P3		Lexicon/corpus		"Italian Legal FrameNet"		"Newly created-in progress"		Italian												Mono
LREC2010	2010	334X-G6H7F9C3G8		Corpus		"EcoLexicon Corpus"		"Newly created-finished"		English		German		Spanish								Tri
COLING2010	2010	263X-A9H3F7H3A9		"Grammar/Language Model"		"Penn Treebank"		Existing-used		English												Mono
LTC2011	2011	1234-4		"Grammar/Language Model"		myres																"Not Specified"
LREC2012	2012	773		Corpus		"The Nordic Dialect Corpus"		"Newly created-finished"		English 												Mono
COLING2010	2010	578X-A6F8H9C6B6		"Java library for interfacing with Wordnet"		"JWI (the MIT Java Wordnet Interface)"		Existing-used		Not Applicable												Mono
ACLHT2011	2011	594		Corpus		"Deceptive Opinion Spam Corpus v1"		"Newly created-finished"		English												Mono
LREC2010	2010	W06_33X-D6A8P9E4B3		Corpus		"multidisciplinary medical meetings"		"Newly created-in progress"		Not Applicable												Mono
LREC2010	2010	856X-C3B6G3E3H7		Tagger/Parser		IceParser		Existing-used		Icelandic												Mono
LREC2010	2010	342X-H4F2G6B3E3		Corpus		"West African Language Archive (WALA)"		"Newly created-in progress"		Anyi		Baule		Ega		Ibibio		Medefaidrin				Multi
LREC2012	2012	878		"Representation-Annotation Standards/Best Practices"		"ISOcat Data Category Registry (DCR)"		Existing-updated		English												Mono
LREC2010	2010	645X-F2C6J2B6P3		Corpus		"Brown Corpus"		Existing-used		English												Mono
LREC2012	2012	584		Database		"Association Norms"		"Newly created-in progress"		Chinese		English										Bi
LREC2010	2010	472X-A6H6F8J8D5		Tagger/Parser		TreeTagger		Existing-used		English												Mono
LREC2010	2010	935X-E9C8A6H2G6		Corpus		"Penn Discourse Treebank"		"Existing - used, but awaiting further enhancement"		English												Mono
LREC2010	2010	W09_14X-E4B6H3D4A9		"Not Inserted"		SPSS		Existing-used		Not Applicable												Mono
LREC2012	2012	514		"Information Retrieval Tool"		"Lemur Toolkit"		Existing-used		Japanese 												Mono
LREC2012	2012	829		"Software Toolkit"		"an XML Based System For Corpora Development (CLaRK)"		Existing-used		Not Applicable												Mono
LREC2010	2010	458X-E6J6J7J3E2		"Sentence splitter"		TTL		Existing-used		English		French		Romanian								Tri
LREC2012	2012	229		Corpus		"Estonian reference Corpus"		Existing-updated		Icelandic												Mono
COLING2010	2010	428X-A4D8H9B6A9		Tagger/Parser		"Bikel parser"																"Not Specified"
LREC2010	2010	109X-J2F9D6J6C7		"Morphological Analyzer"		TRmorph		"Newly created-finished"		Turkish												Mono
LREC2010	2010	730X-C3B6F7P5F6		Corpus		"Penn TreeBank"		Existing-used		English												Mono
LREC2010	2010	99X-G4H6C5H9G2		Corpus		"Corpus of Spontaneous Japanese"		Existing-used		Japanese												Mono
ACLHT2011	2011	301		Tagger/Parser		"Charniak parser"		Existing-used		Not Applicable												Mono
COLING2010	2010	870X-C4C6B4A6H9		Corpus		"Chinese Treebank 5.1"		Existing-used		Chinese												Mono
LREC2010	2010	788X-D8B2B6P2P2		Corpus		"The German-Russian Parallel Corpus of Sigmund Freudâ€™s â€žThe Interpretation of Dreamsâ€œ"		"Newly created-in progress"		English		German		Russian								Tri
LREC2010	2010	462X-G5H3A6A4A3		Corpus		CSJ		Existing-used		Japanese												Mono
LREC2010	2010	816X-G6G3B6P9C3		Corpus		"Sense Folder Corpus"		"Newly created-finished"		English		Italian										Bi
LREC2010	2010	895X-D2D2E4A6H4		Terminology		EcoLexicon		"Newly created-in progress"		English		German		Spanish								Tri
LREC2010	2010	35X-A6G2G5A7F7		"Evaluation Methodology/Formalism/Guidelines"		"Plagiarism Detection Evaluation"		"Newly created-finished"		Not Applicable												Mono
COLING2010	2010	27X-B9E4D6H4P6		Corpus		"NTCIR-8 Patent Translation data"																"Not Specified"
LREC2010	2010	784X-H9E6C3J4J6		Corpus		"Persian Linguistic Database (PLDB)"		Existing-used		Persian												Mono
LTC2011	2011	75		"Named Entity Recogniser"		"Person Name Recognition for Alpine Texts"		"Newly created-in progress"														Mono
COLING2010	2010	196X-D8C6P6C7J8		"Evaluation Data"		"Evaluation Benchmark for Bilingual Lexicon Extraction"		"Newly created-finished"		English		German										Bi
LREC2012	2012	241		Corpus		"Corpus of Spontaneous Japanese"		Existing-used		MSA												Mono
COLING2010	2010	536X-D3F7J5B3H6		"Word-aligned corpus coupled with a multi-lingual ontology"		"Europarl with multilingual synsets"		"Newly created-in progress"		Englsih		French and Greek		German								Tri
LREC2010	2010	39X-H8B3F8C6A6		Tokenizer		ANNIE		Existing-used		Not Applicable												Mono
LREC2010	2010	465X-G3B3F6C7D6		Corpus		"Szeged Dependency Treebank"		"Newly created-in progress"		Hungarian												Mono
IJCNLP2011	2011	106		Tagger/Parser		MeCab		Existing-used		Japanese												Mono
LREC2012	2012	730		Corpus		Lyrics&Notes		"Newly created-in progress"		French												Mono
IJCNLP2011	2011	452		Corpus		OpenMWE																"Not Specified"
IS2011	2011	30894		Corpus		"AURORA Project Database 2.0 - Evaluation Package"		Existing-used		English												Mono
LREC2010	2010	415X-A7F8A8D6H6		"Named Entity Recogniser"		PiNER		Existing-used		english		italian										Bi
LREC2010	2010	381X-J6G2G4H8B3		"Resource Tool: Treebank Search"		PML-TQ		Existing-updated		LI												Mono
COLING2010	2010	361X-J4C4J3F8E5		Corpus		PWKP		"Newly created-finished"		English												Mono
LREC2010	2010	879X-D3A6B2B6E7		"Representation-Annotation Formalism/Guidelines"		"National Corpus of Polish"		"Newly created-in progress"		Polish												Mono
COLING2010	2010	186X-J3A6D9G9G4		Corpus		"Portuguese Twitter corpus"		"Newly created-in progress"		portuguese												Mono
LREC2012	2012	398		Corpus		"PropBank (Proposition Bank)"		Existing-used		English 												Mono
LREC2010	2010	426X-A7H9J5E8F7		"Machine translation toolkit"		Moses		Existing-used		LI												Mono
LREC2010	2010	W10_8X-A8E2J5A4P7		software		uimaSolrCAS																"Not Specified"
LREC2010	2010	617X-A9H7D6B8D8		Corpus		"Japanese Particle Corpus"		"Newly created-in progress"		Japanese												Mono
LREC2012	2012	691		Corpus		"CAMELEON comparable corpus"		"Newly created-in progress"		Japanese 												Mono
IJCNLP2011	2011	232		Lexicon		"General Inquirer"		Existing-used		English												Mono
COLING2010	2010	179X-D9G9P6B3D9		Lexicon		"HowNet Knowledge Database"																"Not Specified"
LREC2010	2010	W22_9X-A8C7J3D7P8		Lexicon		"Hungarian WordNet"		"Newly created-finished"		Hungarian												Mono
COLING2010	2010	179X-D9G9P6B3D9		Corpus		"Chinese Treebank 5.0"																"Not Specified"
LREC2012	2012	664		Tagger/Parser		"Illinois Wikifier"		Existing-used		English 												Mono
LREC2012	2012	129		Corpus		"International Corpus of Learner English"		Existing-used		European Portuguese (EP)												Mono
COLING2010	2010	342X-H4G6G4G4G3		Corpus		Europarl		Existing-used		English		French		Italian		Portuguese		Spanish				Multi
ACLHT2011	2011	464		"Evaluation Data"		"NIST 2009 MT Evaluation Set"		Existing-used		English		Urdu										Bi
LREC2010	2010	560X-A8P8A4C3G4		Terminology		"Data categories for communicative functions"		"Newly created-in progress"		LI												Mono
LREC2010	2010	541X-B3E6J3E6A5		Tagger/Parser		Freeling		Existing-used		Catalan		Galician		Italian		Spanish		Welsh				Multi
LREC2010	2010	183X-F2G6D4G8H8		Corpus		"Nomage Corpus"		"Newly created-in progress"		French												Mono
IJCNLP2011	2011	394		Corpus		"Web 2.0 Treebank"		"Newly created-finished"		English												Mono
LREC2010	2010	W05_2X-A7B7A9G6J9		Lexicon		"Kamusi Project"		Existing-used		Swahili												Mono
LREC2010	2010	855X-A6H3A3H8J2		Terminology		EuroTermBank		Existing-updated		English		Estonian		Hungarian		Latvian		Lithuanian				Multi
COLING2010	2010	683X-D3C3C9P7D3		"Language Identifier"		"Romanized Text Language Identifier"		"Newly created-finished"		LI												Mono
LREC2010	2010	433X-E4P9F8F3P5		"Grammar/Language Model"		"XLE English ParGram grammar + AKR"		Existing-updated		English												Mono
LREC2012	2012	667		"Named Entity Recognizer"		"MorphoAdorner name recognizer"																"Not Specified"
LREC2010	2010	898X-P7E9J6A3B6		"Set of tools to face orthographic migration problems"		"Orthographic Agreement's Knowledge Base"		"Newly created-in progress"		Portuguese												Mono
LREC2010	2010	750X-D6P9C3C2D3		"Annotation Tool"		"Annotation tool for bilingual aligned corpora"		"Newly created-finished"		LI												Mono
LREC2010	2010	321X-C2J7G3G3F6		"Annotation Tool"		ELAN		Existing-updated		LI												Mono
LREC2010	2010	396X-D5H8G5C9J3		Corpus		"Collective Action Framing Corpus"		"Newly created-in progress"		English		Mandarin Chinese		Modern Standard Arabic		Spanish						Multi
LREC2010	2010	147X-J9B6A5J6C5		Corpus		"CFT Corpus of Fiscal Terminology"		"Newly created-in progress"		Italian												Mono
COLING2010	2010	252X-E3J3J7F4A3		Lexicon		"互联网词库(Internet lexicon SogouW)"		Existing-used		Chinese												Mono
LREC2012	2012	616		Corpus		"Child Language Data Exchange System (CHILDES)"		Existing-updated		Wenzhou dialect in China												Mono
LREC2010	2010	392X-E6E6H7A6F2		Corpus		"French treebank converted into dependencies"		"Newly created-finished"		French												Mono
LREC2012	2012	398		"Grammar/Language Model"		"German (P)LTAG lexicon"		"Newly created-in progress"		Polish 												Mono
COLING2010	2010	384X-G3E3H2D2P9		Corpus		"Linguistic Data Consortium"																"Not Specified"
COLING2010	2010	175X-A5J3P8F3J2		"Evaluation Data"		CELEX		Existing-used														"Not Specified"
COLING2010	2010	26X-F2C3A7B5F6		Ontology		"Concept mapping table between video and text"		"Newly created-finished"		English												Mono
LREC2010	2010	690X-C8E7G3A9B5		Tagger/Parser		TaKIPI		Existing-updated		Polish												Mono
LREC2012	2012	836		Corpus		"Annotation Discursive (ANNODIS) Corpus"		"Newly created-finished"		LI												Mono
LREC2010	2010	575X-A6P6D3J3J2		Lexicon		"Universal Word - Hindi Dictionary"		Existing-used		English		Hindi										Bi
LTC2011	2011	18		Corpus		"A Treebank for Finnish (FinnTreeBank)"		"Newly created-in progress"														Mono
LREC2010	2010	W10_11X-G3A5F3H3H3		"Signal Processing/Feature Extraction"		Gensim		"Newly created-in progress"		LI												Mono
LREC2012	2012	751		Corpus		"PORTMEDIA Lang"		"Newly created-finished"		LI												Mono
LREC2010	2010	750X-D6P9C3C2D3		"A general purpose langyage engineering platform"		"The Ellogon language engineering platform"		Existing-used		LI												Mono
LREC2010	2010	W06_29X-G3E2G7D9B2		Corpus		"UTEP-ICT Cross-Cultural Multiparty Multimodal Dialog Corpus"		"Newly created-finished"		American English		Arabic		Mexican Spanish								Tri
LREC2010	2010	902X-A3E7P8P4D7		Lexicon		"wordnets in various languages"		Existing-used		Basque		Dutch		English		Italian		Spanish				Multi
RANLP2011	2011	48		Corpus		"Health-related sentiments and opinions"		"Newly created-in progress"		English												Mono
LREC2010	2010	575X-A6P6D3J3J2		Lexicon		"Princeton English WordNet"		Existing-used		English												Mono
LREC2012	2012	771		Corpus		FR-TimeBank		Existing-used		American English 												Mono
COLING2010	2010	242X-H6H2C4E4A6		Tagger/Parser		"Stanford POS Tagger"																"Not Specified"
LREC2012	2012	1003		Corpus		Euconst																"Not Specified"
LTC2011	2011	84		"Software Toolkit"		"Software for Clustering High-Dimensional Datasets (CLUTO)"		Existing-updated														Mono
LREC2010	2010	210X-F6E5C5A3D4		"Representation-Annotation Formalism/Guidelines"		"SoNaR Named Entities Annotatierichtlijnen"		"Newly created-in progress"		Dutch												Mono
COLING2010	2010	391X-D7P6B6E2B2		Corpus		"English Gigaword Fourth Edition"		Existing-used		English												Mono
LREC2012	2012	375		Lexicon		"Serbian morphological electronic dictionary (SrpRec)"		"Newly created-in progress"		Portuguese 												Mono
LREC2012	2012	427		Terminology		EcoLexicon		Existing-updated		Portuguese 												Mono
LREC2012	2012	550		Corpus		"LAST MINUTE"		"Newly created-in progress"		Spanish												Mono
LREC2010	2010	513X-F6P5J5G4P8		Corpus		ENOVA		Existing-used		English		French		German		Spanish						Multi
LREC2012	2012	1037		Corpus		"Dependency-Parsed FrameNet Corpus"		"Newly created-finished"		American English 		Italian 										Bi
COLING2010	2010	555X-G3F5F5C8D2		Corpus		"non-native speaking data data"		"Newly created-finished"		English												Mono
LTC2011	2011	55		"Grammar/Language Model"		"Phrase Structure Grammar"		"Newly created-finished"														Mono
LREC2010	2010	485X-E6G6B6E9H4		Terminology		FrameNet		Existing-used		English												Mono
LREC2010	2010	687X-C6E6P7G7F4		Corpus		EUROPARL		Existing-used		English		French										Bi
LREC2010	2010	168X-F6J4C3J4F7		"Evaluation Data"		"Corpus of Ambiguous Abbreviations and Gene Names in the Biomedical Domain"		"Newly created-finished"		English												Mono
LREC2010	2010	566X-D7H3B2G6J3		Corpus		"Arabic Treebank part 3 version 3.2 LDC Catalog Number: LDC2010T08"		"Newly created-finished"		Modern Standard Arabic												Mono
COLING2010	2010	525X-C3C9J9A7C9		"Annotation Tool"		CRF++																"Not Specified"
LREC2010	2010	W13_52X-H8A3P5A3B9		Corpus		RWTH-BOSTON-104		Existing-updated		English												Mono
LREC2010	2010	514X-C2J9J3D8B3		Lexicon		"JeuxDeMots French lexical network"		"created, continuously updated"		French												Mono
LREC2012	2012	1003		Corpus		Europarl				Not Applicable												Mono
LREC2010	2010	W21_2X-A9C8G5A6J6		"Annotation Tool"		Netgraph		Existing-used		LI												Mono
LREC2010	2010	670X-F8E8B2J2E3		"Representation-Annotation Formalism/Guidelines"		GALE_Chinese_WA_tagging_guidelines		"Newly created-finished"		Chinese		English										Bi
LREC2010	2010	571X-P6H6J3B2F3		"Named Entity Recogniser"		Carafe		Existing-updated		LI												Mono
LREC2012	2012	278		Corpus		"TAC 2011 KBP English Evaluation Entity Linking Annotation v1.1"		"Newly created-finished"		French 												Mono
LREC2010	2010	507X-D3F2G9H4C5		"Not Inserted"		"System for integration Corpus Management, Processing and Analysis"		Existing-updated		LI												Mono
LREC2012	2012	174		"Language Modeling Tool"		"SRI Language Modeling Toolkit (SRILM)"		Existing-used		LI												Mono
LREC2012	2012	672		"Corpus Tool"		ENCORE		Existing-used		American English 												Mono
LREC2012	2012	486		"Evaluation Data"		KALAKA-2		"Newly created-finished"		Arabic												Mono
COLING2010	2010	323X-A3B8G8C3C2		"Grammar/Language Model"		POS.LM		Existing-used														"Not Specified"
COLING2010	2010	342X-H4G6G4G4G3		Corpus		TiGer		Existing-used		German												Mono
LREC2010	2010	433X-E4P9F8F3P5		Lexicon		VerbNet		Existing-used		English												Mono
IJCNLP2011	2011	76		Tagger/Parser		MaltParser		Existing-used		English												Mono
LREC2012	2012	717		"Evaluation Tool"		"the BiLingual Annotator/Annotation/Analysis Support Tool (Blast)"		Existing-used		English 												Mono
LTC2011	2011	92		Tagger/Parser		"Kashmiri Part of Speech Tagger"		"Newly created-finished"														Mono
LREC2012	2012	634		Ontology		"Associative Concept Dictionary (ACD) for Verbs"		"Newly created-in progress"		English 												Mono
ACLHT2011	2011	551		"Sentence Chunker"		LingPipe		Existing-used		Not Applicable												Mono
LREC2010	2010	141X-G8A8D9E3A3		Lexicon		SloWNet		"Newly created-in progress"		Slovene												Mono
LREC2010	2010	381X-J6G2G4H8B3		Corpus		"Chinese Treebank 6.0"		Existing-used		Chinese												Mono
LREC2010	2010	379X-H3H8A3J3D7		"Evaluation Data"		"Afazio TestSuite"		"Newly created-finished"		English												Mono
COLING2010	2010	585X-C2G4P6J5P6		Corpus		"UIUC Question classification Dataset"		Existing-used		English												Mono
LREC2010	2010	W04_6X-A3B3C2P8F6		"Lexicon tools"		"LEXUS, Toolbox"		Existing-updated		LI												Mono
LREC2012	2012	509		Corpus		"International Workshop on Spoken Language Translation"		Existing-used		English 												Mono
LREC2010	2010	W20_7X-J7B3G7P5A6		Lexicon		Lefff		Existing-used		French												Mono
COLING2010	2010	329X-F7J9H4C9D3		Lexicon		JournalisticNL11		"Newly created-in progress"		Emglish		French										Bi
LREC2010	2010	736X-G6G8H6A8P8		Corpus		"SPAS (Structure and Point Annotation of Stories)"		"Newly created-in progress"		English												Mono
COLING2010	2010	501X-D3P2G8G3E9		"CRF training toolkit"		CRF++																"Not Specified"
COLING2010	2010	578X-A6F8H9C6B6		"Data Mining Tool"		"Rapidminer 4.6"		Existing-used		Not Applicable												Mono
RANLP2011	2011	15		Corpus		Wiki50		"Newly created-finished"		English												Mono
LREC2010	2010	886X-A5B6J9E9F7		Corpus		"World Wide English corpus"		"Newly created-in progress"		English												Mono
LREC2012	2012	430		"Annotation Tool"		FreeLing		Existing-updated		LI												Mono
COLING2010	2010	386X-E7A3G6F9J8		Corpus		"Uyghur Encyclopedia (UE)"		"Newly created-finished"		Uyghur												Mono
LREC2012	2012	464		"Corpus -  Tools - Repository of semantic similarities between words"		SemSim		"Newly created-finished"		German 												Mono
LREC2012	2012	619		Corpus		"Corpus of Computer-mediated Communication in Hindi (CO3H)"		"Newly created-in progress"		French 												Mono
LREC2012	2012	906		Lexicon		"UniDic for Early Middle Japanese"		"Newly created-finished"		Czech 												Mono
COLING2010	2010	278X-C7J9A5G5F6		Corpus		HPRD50		Existing-used		English												Mono
LREC2010	2010	78X-B6D7J4G5P4		"A Knowledge Base with Lexical-Semantic Relations between words"		MindNet		Existing-used		LI												Mono
LREC2010	2010	381X-J6G2G4H8B3		"Annotation Tool"		TrEd		Existing-used		LI												Mono
LREC2012	2012	351		"Speech Recognizer/Transcriber"		"Dragon Naturally Speaking"		Existing-updated		English 		Palula										Bi
COLING2010	2010	120X-A6G7H9D7F3		"Evaluation Tool"		ROUGE-1.5.5		Existing-used		perl script												Mono
LREC2012	2012	1028		"Grammar/Language Model"		"An Open Source Persian Computational Grammar"		"Newly created-finished"		English 		French 		German 								Tri
LREC2010	2010	W01_9X-D3B8E2H4E5		Lexicon		DIINAR		Existing-updated		Arabic (Modern Standard variety)												Mono
LREC2010	2010	397X-B3B4G7G6G9		Lexicon		"The Revised Chinese Dictionary"		Existing-used		Traditional Chinese												Mono
LREC2012	2012	569		Corpus		BioScope		Existing-used		Arabic												Mono
COLING2010	2010	730X-A8H9G6A7H5		Corpus		"oracle database qa forum"		"Newly created-in progress"		LI												Mono
ACLHT2011	2011	207		Corpus		"Document Understanding Conference (DUC) Corpus"		Existing-used		LI												Mono
LREC2012	2012	283		Tokenizer		"Myanmar Word Segmentation"		Existing-used		English 												Mono
LREC2010	2010	W03_11X-E4J2P3D2D3		"Representation-Annotation Standard/Best Practice"		"Next Generation Localisation Process Map"		"Newly created-in progress"		Not Applicable												Mono
COLING2010	2010	541X-H3G3F2P6E3		Corpus		Europarl		Existing-used		english		french										Bi
LREC2012	2012	194		Lexicon		"Finnish WordNet (FinnWordNet)"		Existing-updated		French 												Mono
LREC2010	2010	W16_7X-F6B6B2C3C5		Corpus		MIX1		"Newly created-finished"		English												Mono
IJCNLP2011	2011	214		Corpus		"Kyoto University Text Corpus"		Existing-used		Japanese												Mono
COLING2010	2010	203X-F9G6D7G5C5		Corpus		"Chinese Temporal Annotation Data Set"		"Newly created-in progress"		Chinese												Mono
COLING2010	2010	489X-H7B3C5F7A9		Tagger/Parser		treetagger		Existing-used		LI												Mono
LREC2012	2012	355		Tagger/Parser		"Connexor Machinese Syntax parser"		Existing-used		English 		Standard Arabic 										Bi
LREC2010	2010	W17_17X-H9J7C3J8E9		"Grammar/Language Model"		"SRI Language Modeling Toolkit"		Existing-used		Not Applicable												Mono
LREC2010	2010	558X-B4H3C2A5G2		Transcriber		XTRANS		Existing-used		LI												Mono
COLING2010	2010	556X-A3D7E3J2P6		"Grammar/Language Model"		"Microsoft Web N-gram Services"		"Newly created-in progress"		English												Mono
LREC2010	2010	722X-H5P4C3E4B3		"Evaluation Data"		"Penn Treebank"		Existing-used		en												Mono
LREC2010	2010	542X-J4D8P4E5G8		Corpus		PubMed		Existing-used		Not Applicable												Mono
LREC2010	2010	540X-A5D3A3A2H4		Corpus		"KTHNC - KTH News Corpus"		Existing-used		Swedish												Mono
LREC2010	2010	887X-C4C3P3B2J3		Corpus		"World Wide English corpus"		"Newly created-in progress"		English												Mono
LREC2010	2010	733X-A7D3F4B8D5		Tagger/Parser		"YamCha: Yet Another Multipurpose CHunk Annotator"		Existing-used		LI												Mono
LREC2012	2012	983		Ontology		NLGbAse		"Newly created-finished"		Swedish 												Mono
LREC2010	2010	265X-F6B4P2E3A4		Corpus		"LEX monolingual corpus"		"Newly created-finished"		Polish												Mono
LREC2010	2010	W12_14X-G7D6C5C3H3		Corpus		"Research Artcle Corpus"		Existing-used		English												Mono
LREC2010	2010	824X-C9B5A3H6F3		Corpus		"Gold Standard POS Tagged Corpus"		Existing-updated		Irish												Mono
LREC2012	2012	555		Corpus		Multitrad		"Newly created-finished"		French 		Mo Piu		Vietnamese								Tri
COLING2010	2010	662X-E5H3J6C5A3		Corpus		20-Newsgroup																"Not Specified"
LREC2012	2012	919		"Corpus Tool"		Sanchay		Existing-updated		LI												Mono
COLING2010	2010	675X-J7F4G7E2E4		"Named Entity Recogniser"		MedT_NER		Existing-used		English												Mono
COLING2010	2010	167X-H3C3H6J6J5		Corpus		"NICT JEL corpus"		Existing-used		English												Mono
LREC2010	2010	332X-C5H3D7A3G7		Lexicon		"Romanian Russian WordNet-Affect    RoRuWNA"		"Newly created-in progress"		English		Romanian		Russian								Tri
COLING2010	2010	244X-B6J8P2D8F6		"Evaluation Data"		"ACE 2005"		Existing-used														"Not Specified"
LREC2010	2010	830X-C9E2F5P3P6		Corpus		"CLIC Corpus della Lingua Italiana Contemporanea"		Existing-updated		Italian												Mono
LREC2012	2012	533		"Annotation Tool"		"Perspicuous and Adjustable Links Annotator (PALinkA)"		Existing-used		Persian												Mono
LREC2010	2010	W09_7X-B2J7B6F3E9		"Corpus-Based Online Dictionary"		elexiko		"existing and used; still work in progress"		German												Mono
LREC2010	2010	110X-F3E7H9F6J8		Corpus		"Text+Berg Corpus"		"Newly created-in progress"		French		German		Italian		Romansch						Multi
LREC2010	2010	W13_33X-J6J6G6A7P7		Corpus		"The basic dictionary of FinSL example text corpus (Suvi)"		Existing-used		Finnish		Finnish Sign Language										Bi
LREC2010	2010	334X-G6H7F9C3G8		"Annotation Tool"		SMORE		Existing-used		LI												Mono
LREC2010	2010	101X-C2J9A6J8J3		Corpus		"NIMITEK Corpus"		Existing-used		German												Mono
LREC2010	2010	913X-G2B2D9E7C2		Corpus		"World Wide English corpus"		"Newly created-in progress"		English		French										Bi
LREC2012	2012	627		Corpus		"Annotated UGC corpus for normalization"		"Newly created-in progress"		Japanese 												Mono
LREC2010	2010	131X-F2C6H6A3D3		Tagger/Parser		Unitex		Existing-used		LI												Mono
LREC2010	2010	41X-B6F6J3D2C7		Lexicon		"General Inquirer"		Existing-used		English												Mono
LREC2010	2010	633X-D3A4B7A3A3		Corpus		DISCO		"Newly created-in progress"		Dutch												Mono
LREC2010	2010	134X-D7C8F2E6B3		Lexicon		OpenThesaurus		Existing-used		German												Mono
LREC2012	2012	147		Tagger/Parser		"Estonian Morphological Disambiguator"		Existing-used		LI												Mono
LREC2010	2010	269X-F7G3A6A3C9		"Annotation Tool"		"Semantic Annotation Tool (SAT)"		"Newly created-in progress"		Dutch												Mono
LREC2010	2010	W21_4X-G8F6P7E8C6		Lexicon		"Open source morphology for Finnish (omorfi)"		Existing-updated		Finnish												Mono
COLING2010	2010	454X-A3J9P9H3F5		Lexicon		OmegaWiki		Existing-used														"Not Specified"
LREC2010	2010	592X-C5A3F8D4B3		Lexicon		"French and English Synonym Databases"		Existing-used		English		French										Bi
LREC2010	2010	W21_2X-A9C8G5A6J6		Corpus		"Index Thomisticus Treebank"		Existing-used		Latin												Mono
LREC2010	2010	761X-B8A8A8F4F4		"Text simplification tool"		"ILSP Text Simplification tool"		"Newly created-in progress"		Greek												Mono
LREC2010	2010	W01_14X-P9P5F7F9E8		Ontology		Yago		Existing-used		English												Mono
LREC2010	2010	W13_28X-H5B6F3C3F7		"Not Inserted"		"Data Collection Platform"		"Newly created-in progress"		American Sign Language		English										Bi
LREC2010	2010	333X-G8J3C6J2P9		Corpus		"POS-Tagged New Testament in Wolof (Matthew gospel)"		"Newly created-finished"		Senegal)		Wolof (Niger-Congo										Bi
LREC2010	2010	841X-D3D6D3D8G3		Tagger/Parser		Linguistica		Existing-updated		LI												Mono
LREC2012	2012	529		"Annotation Tool"		FOLKER		Existing-used		English 		Italian 										Bi
